County,CAP,Document,Link,Program Name,Name,Title,Email,Phone,Date Issued,Date Expired,Focus Area,Summary,Program Type,Collaboration,Target Population,Funding Source,Outcome Measures,Action Plan
Lawrence County,No,Multi-Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-lawrencecounty.pdf,,,,,https://www.shelbycountyosr.com/_files/ugd/60b211_ba31d0ad30f342d69c7e963d038b4198.pdf,,,,,,,,,,
Lee County,No,All Hazards Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-leecounty.pdf,,,,,Eight county effort,Shelby county,,,,,,,,,
Livingston County,No,Comprehensive Plan,https://www.livingstoncounty-il.org/wordpress/wp-content/uploads/2014/12/UCLC-13.pdf,,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-livingstoncounty.pdf,,,,,,,,,,,,,
Logan County,No,,,,,,,,,,,,,,,,,
Macon County,No,Comprehensive Plan,https://decaturil.gov/DocumentCenter/View/273/Decatur-Macon-County-Comprehensive-Plan-PDF,,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-maconcounty.pdf,,,,,,,,,,,,,
Macoupin County,No,,,,,,,,,,,,,,,,,
Madison County,Yes,Sustainability Plan,https://cms4files.revize.com/madisoncountyilus/document_center/Planning_Development/4__Sustainability_Policies.pdf,,,,,,,,,,,,,,,
Marion County,No,,,,,,,,,,,,,,,,,
Marshall County,No,Comprehensive Plan,https://marshall-il.com/wp-content/uploads/2022/04/PLP-41136-Marshall-Final-Comp-Plan-2014.pdf,,https://www.purchaseadd.org/wp-content/uploads/2023/11/Chapter-8-Marshall-County-2023-Update-.pdf,,,,,,,,,,,,,
Mason County,No,All Hazards Mitigation Plan,https://masoncountyil.gov/wp-content/uploads/2024/04/EMA-Mason-CountyNHMPUpdateElectronicVersion11032022.pdf,,,,,,,,,,,,,,,
Massac County,No,Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-massaccounty.pdf,,,,,,,,,,,,,,,
McDonough County,No,Comprehensive Plan,http://mcg.mcdonough.il.us/documents/McD%20Comp%20Plan%20Web%20Version%20Rev%202014.pdf,,,,,,,,,,,,,,,
McHenry County,No,Natural Hazards Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-mchenrycounty.pdf,,,,,,,,,,,,,,,
McLean County,No,Action Plan,https://d2gfvfkk60hy7j.cloudfront.net/file/922/Adopted%20GoSafe-Report.pdf,,,,,,,,,,,,,,,
Menard County,No,Comprehensive Plan,https://menardcountyil.gov/files/5214/7630/7153/COMPREHENSIVE_PLAN_OF_MENARD_COUNTY_Adopted_10.11.2016.pdf,,,,,,,,,,,,,,,
Mercer County,No,,,,,,,,,,,,,,,,,
Monroe County,No,Hazard Mitigation Plan,https://www.monroecounty.gov/files/oem/Monroe%20County%20Hazard%20Mitigation%20Plan%20Final%20Volume%201.pdf,,,,,,,,,,,,,,,
Montgomery County,No,Natural Hazards Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-montgomerycounty.pdf,,,,,,,,,,,,,,,
Morgan County,No,Natural Hazards Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-morgancounty.pdf,,,,,,,,,,,,,,,
Moultrie County,No,Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-moultriecounty.pdf,,,,,,,,,,,,,,,
Ogle County,No,,,,,,,,,,,,,,,,,
Peoria County,Yes,Sustainability Plan,https://www.peoriacounty.gov/DocumentCenter/View/11409/2021-Sustainability-plan,,,,,,,,,,,,,,,
Perry County,No,Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-perrycounty.pdf,,,,,,,,,,,,,,,
Piatt County,No,Comprehensive Plan,https://piatt.gov/comprehensive%20plan/vol1.pdf,,,,,,,,,,,,,,,
Pike County,No,,,,,,,,,,,,,,,,,
Pope County,No,,,,,,,,,,,,,,,,,
Pulaski County,No,,,,,,,,,,,,,,,,,
Putnam County,No,,,,,,,,,,,,,,,,,
Randolph County,No,,,,,,,,,,,,,,,,,
Richland County,No,,,,,,,,,,,,,,,,,
Rock Island County,No,Comprehensive Plan,https://rockislandcountyil.gov/DocumentCenter/View/752/2020-Rock-Island-County-Comprehensive-Land-Use-Plan-PDF,,,,,,,,,,,,,,,
St. Clair County,No,Comprehensive Plan,https://www.co.st-clair.il.us/webdocuments/departments/econdev/docs/StClairCountyComprehensivePlan.pdf,,https://www.co.st-clair.il.us/webdocuments/departments/ema/Forms/St.%20Clair%20County%20MHMP%20Final.pdf,,,,,,,,,,,,,
Saline County,No,,,,,,,,,,,,,,,,,
Sangamon County,No,,,,,,,,,,,,,,,,,
Schuyler County,No,Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-schuylercounty.pdf,,,,,,,,,,,,,,,
Scott County,No,,,,,,,,,,,,,,,,,
Shelby County,Yes,Eigth County Climate Action Plan,,,,,,,,,,,,,,,,
Stark County,Yes,RTA Climate Action Plan,https://www.transit.dot.gov/sites/fta.dot.gov/files/2022-04/SARTA-Climate-Action-Plan.pdf,Stark Area RTA,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-starkcounty.pdf,,,,,,,,,,,,,
Stephenson County,No,Hazard Mitigation Plan,https://stephensoncountyil.gov/2022-2027%20Stephenson%20County%20Multi-Hazard%20Mitigation%20Plan%20-%202022-06-01%20FINAL.pdf,,,,,,,,,,,,,,,
Tazewell County,No,Comprehensive Plan,https://tricountyrpc.org/wp-content/uploads/1996-Tazewell-Comp-Plan-web.pdf,,,,,,,,,,,,,,,
Union County,No,,,,,,,,,,,,,,,,,
Vermilion County,No,Hazard Mitigation Plan,https://www.vercounty.org/wp-content/uploads/2024/05/FINAL-Vermilion-County-Hazard-Mitigation-Plan-05092024.pdf,,,,,,,,,,,,,,,
Wabash County,No,Hazard Mitigation Plan,https://iemaohs.illinois.gov/content/dam/soi/en/web/iemaohs/recovery/documents/countyplans/plan-wabashcounty.pdf,,,,,,,,,,,,,,,
Warren County,No,,,,,,,,,,,,,,,,,
Washington County,No,,,,,,,,,,,,,,,,,
Wayne County,No,,,,,,,,,,,,,,,,,
White County,No,,,,,,,,,,,,,,,,,
Whiteside County,No,,,,,,,,,,,,,,,,,
Will County,No,,,,,,,,,,,,,,,,,
Williamson County,No,,,,,,,,,,,,,,,,,
Winnebago County,Yes,In progress,https://engager1.mysocialpinpoint.com/climate-action-plan-cap,Put the timeline in here - establishing climate action plan with the timeline - mention that its pending,,,,,,,,,,,,,,
Woodford County,No,,,,,,,,,,,,,,,,,
